category,key,count,note
contest_rows,status_conflict,13670,4052 distinct binomials in this class
contest_rows,parent_contested,13631,5236 distinct binomials in this class
contest_rows,parent_conflict,8008,3031 distinct binomials in this class
synonym_type_disagreement,Mixed (homotypic vs heterotypic across sources),430,See Output A rows where synonym_type_consensus == 'Mixed'
synonym_type_coverage,Unknown (no source classified),1787,Only CITES PDF / WFO / Unplaced sources; user_synonyms classifies.
synonym_type_coverage,Homotypic,19422,
synonym_type_coverage,Heterotypic,13429,
synonym_type_coverage,Orthographic variant,17,
synonym_type_coverage,Nomenclatural,487,
per_source_counts,wcvp.accepted,33734,
per_source_counts,wcvp.synonym_of,57672,
per_source_counts,wfo.accepted,33128,
per_source_counts,wfo.synonym_of,63737,
per_source_nonstandard_status,wfo: Unchecked,6130,Raw status value preserved in raw_extras — mapped to Unknown in synonym_type.
per_source_counts,cites_csv.accepted,29347,
per_source_counts,cites_csv.synonym_of,0,
per_source_counts,cites_pdf.accepted,0,
per_source_counts,cites_pdf.synonym_of,12746,
per_source_counts,user_synonyms.accepted,0,
per_source_counts,user_synonyms.synonym_of,23369,
unique_to_one_source,wcvp,2669,Rows in Output A backed by only this source.
unique_to_one_source,wfo,2017,Rows in Output A backed by only this source.
unique_to_one_source,cites_csv,75,Rows in Output A backed by only this source.
unique_to_one_source,cites_pdf,145,Rows in Output A backed by only this source.
unique_to_one_source,user_synonyms,22,Rows in Output A backed by only this source.
