accepted_name,sources,synonym_count,synonyms,synonyms_detailed,accepted_name_full,accepted_authority,family,genus,species,taxon_rank,cites_appendix,cites_full_note,wcvp_plant_name_id,wcvp_ipni_id,wfo_taxon_id,basionym,first_published,place_of_publication,geographic_area,classification,unique_to_source,raw_extras
Aa figueroae,wcvp,0,,,Aa figueroae Szlach. & S.Nowak,Szlach. & S.Nowak,Orchidaceae,Aa,figueroae,Species,,,488946,77142651-1,,<NA>,(2014),Pl. Syst. Evol.,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""montane tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""300: 1837""}"
Aa olivacea,wcvp,0,,,"Aa olivacea D.Trujillo, Rob.Fern. & Edquén","D.Trujillo, Rob.Fern. & Edquén",Orchidaceae,Aa,olivacea,Species,,,3311815,77352948-1,,<NA>,(2024),Lankesteriana,Peru,unambiguous_accepted,wcvp,"{""climate_description"": ""montane tropical"", ""lifeform_description"": ""perennial"", ""volume_and_page"": ""24: 246""}"
Aa tenebrosa,wcvp,0,,,Aa tenebrosa C.M.Martín & Scrocchi,C.M.Martín & Scrocchi,Orchidaceae,Aa,tenebrosa,Species,,,3322249,<NA>,,<NA>,(2020),Syst. Bot.,Argentina (Salta),unambiguous_accepted,wcvp,"{""climate_description"": ""subalpine or subarctic"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""45: 762""}"
Acianthera adiri,wfo,0,,,Acianthera adiri (Brade) Pridgeon & M.W.Chase,(Brade) Pridgeon & M.W.Chase,Orchidaceae,Pleurothallis,adirii,species,,,,,wfo-0000276594,,Orquídea (Rio de Janeiro) 9: 21 (1946),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:202336-2"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Orquídea (Rio de Janeiro) 9: 21 1946 to Orquídea (Rio de Janeiro) 9: 21 (1946), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or"", ""tplId"": ""kew-159248"", ""wfo_nomenclatural_status"": ""Valid""}"
Acianthera brachyloba,wfo,0,,,Acianthera brachyloba (Hoehne) Pridgeon,(Hoehne) Pridgeon,Orchidaceae,Acianthera,brachyloba,species,,,,,wfo-0001263741,,Lindleyana 16(4): 242 2001,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50210021 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50210021 >The Plant List v.1.0</a>"", ""tplId"": ""tro-50210021"", ""wfo_nomenclatural_status"": ""Valid""}"
Acianthera caucanensis,wcvp,0,,,"Acianthera caucanensis Uribe Vélez, Sauleda & Szlach.","Uribe Vélez, Sauleda & Szlach.",Orchidaceae,Acianthera,caucanensis,Species,,,3301208,77325268-1,,<NA>,(2022),New World Orchid. Nomencl. Notes,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""111: 1""}"
Acianthera hatakeyamae,wcvp,0,,,Acianthera hatakeyamae Campacci & C.R.M.Silva,Campacci & C.R.M.Silva,Orchidaceae,Acianthera,hatakeyamae,Species,,,3312077,77334529-1,,<NA>,(2023),Colet. Orquídeas Brasil.,Brazil (São Paulo),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""19: 766""}"
Acianthera kautskyi,wcvp,0,,,Acianthera kautskyi (Pabst) Toscano & E.C.Smidt,(Pabst) Toscano & E.C.Smidt,Orchidaceae,Acianthera,kautskyi,Species,,,3301347,77328816-1,,52112,(2023),Phytotaxa,"Brazil (Espírito Santo, Rio de Janeiro)",unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""620: 176""}"
Acianthera ortizii,wcvp,0,,,"Acianthera ortizii Uribe Vélez, Sauleda & Szlach.","Uribe Vélez, Sauleda & Szlach.",Orchidaceae,Acianthera,ortizii,Species,,,3301209,77325267-1,,<NA>,(2022),New World Orchid. Nomencl. Notes,Colombia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""110: 1""}"
Acianthera rzedowskiorum,wcvp,0,,,Acianthera rzedowskiorum Solano & Karremans,Solano & Karremans,Orchidaceae,Acianthera,rzedowskiorum,Species,,,3301435,77327927-1,,<NA>,(2023),Acta Bot. Mex.,Mexico (Chiapas),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""perennial or lithophyte"", ""volume_and_page"": ""130(2225): 15""}"
